fare_amount,passenger_count,pickup_year,pickup_month,pickup_day_of_month,pickup_hour,pickup_minute,pickup_second,Trip_distance_KM
4.5,1.0,2009.0,6.0,15.0,17.0,26.0,21.0,1.0301167751461033
5.7,2.0,2011.0,8.0,18.0,0.0,35.0,0.0,1.3886528194123178
7.7,1.0,2012.0,4.0,21.0,4.0,30.0,42.0,2.797512732377167
5.3,1.0,2010.0,3.0,9.0,7.0,51.0,0.0,1.9979016275575883
12.1,1.0,2011.0,1.0,6.0,9.0,50.0,45.0,3.7848612859541633
7.5,1.0,2012.0,11.0,20.0,20.0,35.0,0.0,1.5548298540395584
16.5,1.0,2012.0,1.0,4.0,17.0,22.0,0.0,4.152835317247258
8.9,2.0,2009.0,9.0,2.0,1.0,11.0,0.0,2.8478376723936663
5.3,1.0,2012.0,4.0,8.0,7.0,30.0,50.0,1.37371397840433
4.1,2.0,2009.0,11.0,6.0,1.0,4.0,3.0,0.7173168407807243
7.0,1.0,2013.0,7.0,2.0,19.0,54.0,0.0,2.018115967315824
7.7,2.0,2011.0,4.0,5.0,17.0,11.0,5.0,1.6703951900713059
12.5,1.0,2014.0,2.0,19.0,7.0,22.0,0.0,2.608135960081105
5.3,1.0,2009.0,7.0,22.0,16.0,8.0,0.0,1.510955006314748
5.3,1.0,2010.0,7.0,7.0,14.0,52.0,0.0,0.9213728755496237
4.0,1.0,2014.0,12.0,6.0,20.0,36.0,22.0,0.39892794816033816
10.5,1.0,2010.0,9.0,7.0,13.0,18.0,0.0,1.6858022428485995
11.5,1.0,2013.0,2.0,12.0,12.0,15.0,46.0,2.2910304843942813
4.5,1.0,2009.0,8.0,6.0,18.0,17.0,23.0,0.9237154182564962
4.9,1.0,2010.0,12.0,6.0,12.0,29.0,0.0,1.4030767105882638
6.1,1.0,2009.0,12.0,10.0,15.0,37.0,0.0,1.0171340845638217
7.3,3.0,2011.0,6.0,21.0,16.0,15.0,0.0,2.530357027315187
4.5,3.0,2011.0,6.0,28.0,19.0,47.0,0.0,0.3285644355745278
9.3,1.0,2012.0,5.0,4.0,6.0,11.0,20.0,4.070905587369941
4.5,2.0,2013.0,8.0,11.0,0.0,52.0,0.0,0.8076457659295266
5.5,1.0,2014.0,2.0,19.0,16.0,3.0,0.0,0.8713658426816023
5.7,2.0,2011.0,9.0,7.0,14.0,5.0,0.0,1.3807210832689498
18.1,1.0,2011.0,9.0,7.0,23.0,5.0,44.0,7.146013399281076
4.5,1.0,2015.0,3.0,12.0,8.0,8.0,38.0,0.8061928013773864
5.3,1.0,2012.0,1.0,19.0,10.0,15.0,30.0,0.9512032565866898
9.0,6.0,2013.0,11.0,24.0,11.0,42.0,0.0,2.3423309320743586
9.8,1.0,2009.0,3.0,2.0,20.0,42.0,49.0,3.5837392683179483
8.1,1.0,2011.0,3.0,29.0,15.0,39.0,49.0,1.6425361534936058
10.9,2.0,2011.0,10.0,15.0,10.0,55.0,24.0,5.0107878532254935
17.5,1.0,2013.0,11.0,22.0,8.0,38.0,9.0,5.744649825484013
12.1,1.0,2009.0,6.0,10.0,21.0,28.0,0.0,5.453444404871516
5.3,1.0,2011.0,3.0,4.0,18.0,12.0,0.0,0.9464414754816891
6.9,1.0,2011.0,8.0,31.0,21.0,14.0,15.0,2.5470150512008156
4.5,1.0,2011.0,6.0,1.0,20.0,30.0,0.0,0.9921144509551418
3.3,1.0,2011.0,12.0,14.0,7.0,53.0,0.0,0.46156349816485687
3.3,5.0,2012.0,7.0,18.0,0.0,16.0,0.0,0.5499817196016613
9.0,1.0,2013.0,1.0,29.0,12.0,26.0,0.0,1.6468486080908091
9.7,1.0,2011.0,12.0,6.0,9.0,9.0,21.0,2.497746434610701
5.5,3.0,2012.0,10.0,6.0,20.0,31.0,36.0,1.0130755550610036
8.0,1.0,2013.0,1.0,23.0,7.0,1.0,38.0,2.28365049900717
7.5,1.0,2013.0,9.0,7.0,3.0,17.0,0.0,0.20693794659843895
15.3,1.0,2012.0,1.0,4.0,18.0,7.0,29.0,5.040855798862912
9.7,4.0,2011.0,3.0,19.0,21.0,55.0,0.0,1.6898020069783806
13.7,2.0,2012.0,7.0,19.0,23.0,53.0,14.0,6.344914462940601
6.5,1.0,2009.0,3.0,23.0,12.0,13.0,29.0,1.2697868254853442
5.0,6.0,2014.0,7.0,16.0,10.0,57.0,0.0,0.43060025010204744
4.5,3.0,2011.0,4.0,22.0,23.0,21.0,3.0,1.2311409488395708
4.9,1.0,2012.0,1.0,2.0,14.0,54.0,0.0,0.9744502626528754
7.0,6.0,2014.0,5.0,1.0,9.0,12.0,0.0,1.4470488763866407
7.5,1.0,2012.0,10.0,7.0,17.0,59.0,8.0,1.6190743938484593
8.5,4.0,2014.0,1.0,17.0,9.0,3.0,0.0,1.1127201191453602
16.5,6.0,2014.0,4.0,29.0,18.0,28.0,0.0,3.7308645606761552
11.5,6.0,2015.0,4.0,12.0,10.0,19.0,5.0,3.372594217470122
6.9,2.0,2009.0,8.0,2.0,2.0,34.0,11.0,0.9214765430463976
3.7,1.0,2010.0,1.0,31.0,10.0,53.0,0.0,0.8426410741994865
6.9,2.0,2010.0,5.0,14.0,8.0,9.0,0.0,1.0543871151527728
10.1,2.0,2012.0,5.0,21.0,15.0,20.0,0.0,1.1988265340500506
16.5,1.0,2014.0,12.0,8.0,16.0,0.0,1.0,5.400479730085377
15.07,2.0,2010.0,8.0,16.0,1.0,33.0,0.0,3.419203519540912
7.7,1.0,2010.0,12.0,4.0,14.0,26.0,13.0,1.4907324894994722
7.0,2.0,2013.0,2.0,6.0,22.0,16.0,0.0,2.346366097195488
8.5,1.0,2014.0,6.0,11.0,22.0,24.0,21.0,1.9325921460089643
5.7,1.0,2010.0,8.0,19.0,16.0,33.0,0.0,1.5728445688252644
