fare_amount,passenger_count,pickup_year,pickup_month,pickup_day_of_month,pickup_hour,pickup_minute,pickup_second,Trip_distance_KM
4.5,1.0,2009.0,6.0,15.0,17.0,26.0,21.0,0.13101313530909173
5.7,2.0,2011.0,8.0,18.0,0.0,35.0,0.0,0.17661275315239283
7.7,1.0,2012.0,4.0,21.0,4.0,30.0,42.0,0.3557955010332239
5.3,1.0,2010.0,3.0,9.0,7.0,51.0,0.0,0.2540987221845137
12.1,1.0,2011.0,1.0,6.0,9.0,50.0,45.0,0.4813692541921046
7.5,1.0,2012.0,11.0,20.0,20.0,35.0,0.0,0.19774761363439441
16.5,1.0,2012.0,1.0,4.0,17.0,22.0,0.0,0.5281692216474415
8.9,2.0,2009.0,9.0,2.0,1.0,11.0,0.0,0.36219596779085766
5.3,1.0,2012.0,4.0,8.0,7.0,30.0,50.0,0.17471278953121705
4.1,2.0,2009.0,11.0,6.0,1.0,4.0,3.0,0.09123036396273246
7.0,1.0,2013.0,7.0,2.0,19.0,54.0,0.0,0.2566696385056794
7.7,2.0,2011.0,4.0,5.0,17.0,11.0,5.0,0.21244553659989565
12.5,1.0,2014.0,2.0,19.0,7.0,22.0,0.0,0.33171003296606805
5.3,1.0,2009.0,7.0,22.0,16.0,8.0,0.0,0.19216748767166453
5.3,1.0,2010.0,7.0,7.0,14.0,52.0,0.0,0.11718278172626494
4.0,1.0,2014.0,12.0,6.0,20.0,36.0,22.0,0.05073677325902774
10.5,1.0,2010.0,9.0,7.0,13.0,18.0,0.0,0.2144050487046661
11.5,1.0,2013.0,2.0,12.0,12.0,15.0,46.0,0.291379670820942
4.5,1.0,2009.0,8.0,6.0,18.0,17.0,23.0,0.11748071286575083
4.9,1.0,2010.0,12.0,6.0,12.0,29.0,0.0,0.17844722401231045
6.1,1.0,2009.0,12.0,10.0,15.0,37.0,0.0,0.1293619603753651
7.3,3.0,2011.0,6.0,21.0,16.0,15.0,0.0,0.3218178905522017
4.5,3.0,2011.0,6.0,28.0,19.0,47.0,0.0,0.04178774474338177
9.3,1.0,2012.0,5.0,4.0,6.0,11.0,20.0,0.5177491692366535
4.5,2.0,2013.0,8.0,11.0,0.0,52.0,0.0,0.1027186495419731
5.5,1.0,2014.0,2.0,19.0,16.0,3.0,0.0,0.11082274728976617
5.7,2.0,2011.0,9.0,7.0,14.0,5.0,0.0,0.1756039727445214
